Ticker symbol;Security;SEC filings;GICS Sector;GICS Code;GICS Sub Industry;GICS Sub-Code;Address of Headquarters;Date first added;CIK
EXR;Extra Space Storage;reports;Real Estate;60;Specialized REITs;60101080;Salt Lake City, Utah;19.01.2016;1289490
XOM;Exxon Mobil Corp.;reports;Energy;10;Integrated Oil & Gas;10102010;Irving, Texas;;34088
FFIV;F5 Networks;reports;Information Technology;45;Communications Equipment;45201020;Seattle, Washington;20.12.2010;1048695
FB;Facebook, Inc.;reports;Information Technology;45;Internet Software & Services;45101010;Menlo Park, California;23.12.2013;1326801
FAST;Fastenal Co;reports;Industrials;20;Building Products;20102010;Winona, Minnesota;15.09.2009;815556
FRT;Federal Realty Investment Trust;reports;Real Estate;60;Retail REITs;60101070;Rockville, Maryland;01.02.2016;34903
FDX;FedEx Corporation;reports;Industrials;20;Air Freight & Logistics;20301010;Memphis, Tennessee;31.12.1980;1048911
FIS;Fidelity National Information Services;reports;Information Technology;45;Internet Software & Services;45101010;Jacksonville, Florida;10.11.2006;1136893
FITB;Fifth Third Bancorp;reports;Financials;40;Regional Banks;40101015;Cincinnati, Ohio;;35527
FE;FirstEnergy Corp;reports;Utilities;55;Electric Utilities;55101010;Akron, Ohio;;1031296
FISV;Fiserv Inc;reports;Information Technology;45;Internet Software & Services;45101010;Brookfield, Wisconsin;02.04.2001;798354
FLIR;FLIR Systems;reports;Information Technology;45;Electronic Equipment & Instruments;45203010;Wilsonville, Oregon;02.01.2009;354908
FLS;Flowserve Corporation;reports;Industrials;20;Industrial Machinery;20106020;Irving, Texas;02.10.2008;30625
FLR;Fluor Corp.;reports;Industrials;20;Construction & Engineering;20103010;Irving, Texas;31.03.1980;1124198
FMC;FMC Corporation;reports;Materials;15;Fertilizers & Agricultural Chemicals;15101030;Philadelphia, Pennsylvania;19.08.2009;37785
FL;Foot Locker Inc;reports;Consumer Discretionary;25;Apparel Retail;25504010;New York, New York;04.04.2016;850209
F;Ford Motor;reports;Consumer Discretionary;25;Automobile Manufacturers;25102010;Dearborn, Michigan;;37996
FTV;Fortive Corp;reports;Industrials;20;Industrial Machinery;20106020;Everett, Washington;01.07.2016;1659166
FBHS;Fortune Brands Home & Security;reports;Industrials;20;Building Products;20102010;Deerfield, Illinois;22.06.2016;1519751
